,frame_index,car_id,car_type,speed
914,346,49,car,280.0
915,347,39,car,160.0
916,347,45,car,240.0
917,347,47,car,160.0
918,347,49,car,280.0
919,347,51,truck,520.0
920,348,39,car,160.0
921,348,45,car,240.0
922,348,47,car,140.0
923,348,49,car,300.0
924,348,51,truck,160.0
925,349,39,car,160.0
926,349,45,car,220.0
927,349,47,car,140.0
928,349,49,car,280.0
929,349,51,truck,240.0
930,350,39,car,160.0
931,350,45,car,180.0
932,350,49,car,280.0
933,350,51,truck,460.0
934,351,39,car,160.0
935,351,45,car,180.0
936,351,49,car,280.0
937,351,51,truck,300.0
938,352,39,car,200.0
939,352,45,car,200.0
940,352,49,car,240.0
941,352,51,truck,580.0
942,353,39,car,200.0
943,353,45,car,200.0
944,353,49,car,240.0
945,353,51,truck,620.0
946,354,39,car,180.0
947,354,45,car,200.0
948,354,47,car,140.0
949,354,49,car,240.0
950,355,39,car,240.0
951,355,45,car,200.0
952,355,49,car,240.0
953,356,39,car,260.0
954,356,45,car,160.0
955,356,49,car,220.0
956,357,39,car,260.0
957,357,45,car,200.0
958,357,49,car,240.0
959,358,39,car,260.0
960,358,45,car,200.0
961,358,49,car,220.0
962,359,39,car,280.0
963,359,45,car,160.0
964,359,49,car,180.0
965,359,54,car,320.0
966,360,39,car,300.0
967,360,45,car,160.0
968,360,49,car,180.0
969,360,54,car,260.0
970,361,39,car,300.0
971,361,45,car,160.0
972,361,49,car,180.0
973,361,54,car,240.0
974,362,39,car,340.0
975,362,45,car,140.0
976,362,49,car,180.0
977,362,54,car,260.0
978,363,39,car,360.0
979,363,49,car,180.0
980,363,54,car,240.0
981,364,39,car,400.0
982,364,45,car,140.0
983,364,49,car,180.0
984,364,54,car,240.0
985,365,39,car,420.0
986,365,45,car,160.0
987,365,49,car,140.0
988,365,54,car,240.0
989,366,39,car,420.0
990,366,45,car,160.0
991,366,49,car,140.0
992,366,54,car,220.0
993,367,39,car,500.0
994,367,45,car,200.0
995,367,49,car,140.0
996,367,54,car,220.0
997,368,39,car,500.0
998,368,45,car,160.0
999,368,49,car,180.0
1000,368,54,car,220.0
1001,369,39,car,540.0
1002,369,49,car,180.0
1003,369,54,car,180.0
1004,370,39,car,620.0
1005,370,44,car,140.0
1006,370,45,car,160.0
1007,370,49,car,160.0
1008,370,54,car,180.0
1009,371,39,car,680.0
1010,371,44,car,140.0
1011,371,49,car,140.0
1012,371,54,car,180.0
1013,372,39,car,740.0
1014,372,45,car,140.0
1015,372,49,car,140.0
1016,372,54,car,180.0
1017,373,39,car,820.0
1018,373,42,car,140.0
1019,373,44,car,140.0
1020,373,45,car,140.0
1021,373,49,car,140.0
1022,373,54,car,160.0
1023,374,39,car,860.0
1024,374,42,car,140.0
1025,374,44,car,160.0
1026,374,49,car,140.0
1027,374,54,car,160.0
1028,375,39,car,760.0
1029,375,42,car,140.0
1030,375,44,car,140.0
1031,375,45,car,160.0
1032,375,49,car,140.0
1033,375,54,car,180.0
1034,376,42,car,160.0
1035,376,44,car,140.0
1036,376,45,car,140.0
1037,376,49,car,160.0
1038,376,54,car,180.0
1039,377,42,car,160.0
1040,377,44,car,160.0
1041,377,49,car,140.0
1042,377,54,car,160.0
1043,378,42,car,200.0
1044,378,44,car,160.0
1045,378,54,car,140.0
1046,379,42,car,200.0
1047,379,44,car,160.0
1048,379,45,car,140.0
1049,379,54,car,140.0
1050,380,42,car,160.0
1051,380,44,car,200.0
1052,380,45,car,140.0
1053,381,42,car,180.0
1054,381,44,car,180.0
1055,381,54,car,140.0
1056,382,42,car,200.0
1057,382,44,car,200.0
1058,382,54,car,160.0
1059,383,42,car,220.0
1060,383,44,car,200.0
1061,383,54,car,140.0
1062,384,42,car,240.0
1063,384,44,car,180.0
1064,385,42,car,240.0
1065,385,44,car,200.0
1066,386,42,car,260.0
1067,386,44,car,220.0
1068,386,54,car,140.0
1069,387,42,car,280.0
1070,387,44,car,240.0
1071,388,42,car,280.0
1072,388,44,car,260.0
1073,389,42,car,280.0
1074,389,44,car,280.0
1075,390,42,car,300.0
1076,390,44,car,280.0
1077,391,42,car,340.0
1078,391,44,car,280.0
1079,392,42,car,360.0
1080,392,44,car,300.0
1081,393,42,car,380.0
1082,393,44,car,320.0
1083,394,42,car,420.0
1084,394,44,car,340.0
1085,395,42,car,440.0
1086,395,44,car,380.0
1087,396,42,car,500.0
1088,396,44,car,420.0
1089,396,49,car,140.0
1090,397,42,car,560.0
1091,397,44,car,420.0
1092,398,42,car,600.0
1093,398,44,car,420.0
1094,399,42,car,600.0
1095,399,44,car,420.0
1096,400,42,car,660.0
1097,400,44,car,480.0
1098,401,42,car,760.0
1099,401,44,car,480.0
1100,402,42,car,840.0
1101,402,44,car,540.0
1102,403,42,car,900.0
1103,403,44,car,620.0
1104,404,42,car,940.0
1105,404,44,car,660.0
